state_id,weight,top1_token_id_audit_only,top1_probability,entropy,top1_top2_margin,top1_differs_from_w1,w1_top_token_rank,w1_top_token_probability_change,top1_logprob_margin_change_vs_w1
f60_a0_p01_s02,0.5,263,0.37200087308883667,3.409707546234131,0.277576208114624,0.0,0,0.038248538970947266,0.05078136920928955
f60_a0_p01_s02,0.75,263,0.35406816005706787,3.5421929359436035,0.2618842124938965,0.0,0,0.02031537890434265,0.02539074420928955
f60_a0_p01_s02,1.0,263,0.33375492691993713,3.684704303741455,0.244625061750412,0.0,0,1.519918441772461e-06,0.0
f60_a0_p01_s03,0.0,29931,0.9975211024284363,0.024494843557476997,0.9968503713607788,0.0,0,0.00026494264602661133,0.3828125
f60_a0_p01_s03,0.25,29931,0.9976987242698669,0.02204752340912819,0.9969605207443237,0.0,0,0.00044232606887817383,0.287109375
f60_a0_p01_s03,0.5,29931,0.9976075887680054,0.02231360226869583,0.9967952966690063,0.0,0,0.00035136938095092773,0.19140625
f60_a0_p01_s03,0.75,29931,0.9974516034126282,0.023260224610567093,0.996557891368866,0.0,0,0.0001957416534423828,0.095703125
f60_a0_p01_s03,1.0,29931,0.9972571730613708,0.024576373398303986,0.9962738752365112,0.0,0,1.5497207641601562e-06,0.0
f60_a0_p01_s04,0.0,29871,0.8486480712890625,1.2591421604156494,0.8370065093040466,0.0,0,0.07224780321121216,0.5312497615814209
f60_a0_p01_s04,0.25,29871,0.8392548561096191,1.331336259841919,0.8261069059371948,0.0,0,0.06285011768341064,0.3984372615814209
f60_a0_p01_s04,0.5,29871,0.8233190178871155,1.4464346170425415,0.8085887432098389,0.0,0,0.046913325786590576,0.2656247615814209
f60_a0_p01_s04,0.75,29871,0.8024646639823914,1.5924352407455444,0.7860682606697083,0.0,0,0.026058495044708252,0.1328122615814209
f60_a0_p01_s04,1.0,29871,0.776427686214447,1.7690680027008057,0.7583099603652954,0.0,0,2.3484230041503906e-05,0.0
f60_a1_p01_s00,0.0,13,0.5729671716690063,2.523899555206299,0.4989754259586334,1.0,1,-0.17421001940965652,0.8593748807907104
f60_a1_p01_s00,0.25,306,0.19781941175460815,4.300716400146484,0.06494487822055817,0.0,0,-0.05037635564804077,-0.7895509004592896
f60_a1_p01_s00,0.5,306,0.23801836371421814,4.384767055511475,0.18694385886192322,0.0,0,-0.010176539421081543,0.35156238079071045
f60_a1_p01_s00,0.75,306,0.2478734850883484,4.257490158081055,0.1844625174999237,0.0,0,-0.0003265589475631714,0.17578136920928955
f60_a1_p01_s00,1.0,306,0.24820181727409363,4.151775360107422,0.17250454425811768,0.0,0,2.5331974029541016e-07,0.0
f60_a1_p01_s01,0.0,29941,0.7187455296516418,1.1239138841629028,0.5976890325546265,0.0,0,-0.009987294673919678,-0.18749988079071045
f60_a1_p01_s01,0.25,29941,0.7252188324928284,1.0936537981033325,0.6086655855178833,0.0,0,-0.0035149455070495605,-0.14062488079071045
f60_a1_p01_s01,0.5,29941,0.7284793257713318,1.079939842224121,0.6167634129524231,0.0,0,-0.0002544522285461426,-0.09374988079071045
f60_a1_p01_s01,0.75,29941,0.7296052575111389,1.0732542276382446,0.622840404510498,0.0,0,0.0008713603019714355,-0.04687511920928955
f60_a1_p01_s01,1.0,29941,0.7287337183952332,1.0722696781158447,0.6269797086715698,0.0,0,-1.1920928955078125e-07,0.0
f60_a1_p01_s02,0.0,263,0.3986867666244507,3.1925342082977295,0.30249911546707153,0.0,0,0.07760033011436462,0.203125
f60_a1_p01_s02,0.25,263,0.38263359665870667,3.2958574295043945,0.28551003336906433,0.0,0,0.06154760718345642,0.15234386920928955
f60_a1_p01_s02,0.5,263,0.36380520462989807,3.4179651737213135,0.26665034890174866,0.0,0,0.04271900653839111,0.10156238079071045
f60_a1_p01_s02,0.75,263,0.34317171573638916,3.5518832206726074,0.24675306677818298,0.0,0,0.022085249423980713,0.05078125
f60_a1_p01_s02,1.0,263,0.3210882544517517,3.6943373680114746,0.2261747419834137,0.0,0,1.430511474609375e-06,0.0
f60_a1_p01_s03,0.0,29931,0.9975211024284363,0.024494843557476997,0.9968503713607788,0.0,0,0.0004042387008666992,0.4140625
f60_a1_p01_s03,0.25,29931,0.9976633787155151,0.022396601736545563,0.9969193935394287,0.0,0,0.0005465149879455566,0.310546875
f60_a1_p01_s03,0.5,29931,0.9975430965423584,0.022928927093744278,0.9967181086540222,0.0,0,0.0004260540008544922,0.20703125
f60_a1_p01_s03,0.75,29931,0.9973529577255249,0.024158859625458717,0.9964381456375122,0.0,0,0.00023627281188964844,0.103515625
f60_a1_p01_s03,1.0,29931,0.9971178770065308,0.025801673531532288,0.9961035251617432,0.0,0,1.2516975402832031e-06,0.0
f60_a1_p01_s04,0.0,29871,0.8486480712890625,1.2591421604156494,0.8370065093040466,0.0,0,0.09747058153152466,0.640625
f60_a1_p01_s04,0.25,29871,0.8340798616409302,1.368866205215454,0.8206507563591003,0.0,0,0.08289730548858643,0.4804692268371582
f60_a1_p01_s04,0.5,29871,0.8123887777328491,1.5248372554779053,0.7970370054244995,0.0,0,0.061205387115478516,0.3203125
f60_a1_p01_s04,0.75,29871,0.7849020957946777,1.7161966562271118,0.767493486404419,0.0,0,0.033720433712005615,0.16015625
f60_a1_p01_s04,1.0,29871,0.7512049078941345,1.9430118799209595,0.7316496968269348,0.0,0,2.5331974029541016e-05,0.0
f60_a2_p01_s00,0.0,13,0.5729671716690063,2.523899555206299,0.4989754259586334,1.0,1,-0.1748000755906105,0.8046876192092896
f60_a2_p01_s00,0.25,306,0.1975734680891037,4.320478439331055,0.06698538362979889,0.0,0,-0.051211804151535034,-0.8281248807907104
f60_a2_p01_s00,0.5,306,0.23705314099788666,4.414690017700195,0.18755781650543213,0.0,0,-0.011732250452041626,0.32421886920928955
f60_a2_p01_s00,0.75,306,0.247275710105896,4.300691604614258,0.18655972182750702,0.0,0,-0.0015140771865844727,0.16210949420928955
f60_a2_p01_s00,1.0,306,0.2487918734550476,4.206935882568359,0.17695274949073792,0.0,0,1.4901161193847656e-07,0.0
f60_a2_p01_s01,0.0,29941,0.7187455296516418,1.1239138841629028,0.5976890325546265,0.0,0,0.014638304710388184,-0.06249988079071045
f60_a2_p01_s01,0.25,29941,0.7191742062568665,1.1103250980377197,0.5999234318733215,0.0,0,0.015066146850585938,-0.046875
f60_a2_p01_s01,0.5,29941,0.7163622379302979,1.1131293773651123,0.5994192957878113,0.0,0,0.012254059314727783,-0.03125
f60_a2_p01_s01,0.75,29941,0.7113192677497864,1.1228286027908325,0.5969998836517334,0.0,0,0.007211148738861084,-0.015625
f60_a2_p01_s01,1.0,29941,0.7041081190109253,1.13816499710083,0.5927020311355591,0.0,0,0.0,0.0
f60_a2_p01_s02,0.0,263,0.3986867666244507,3.1925342082977295,0.30249911546707153,0.0,0,0.09319186210632324,0.3125
f60_a2_p01_s02,0.25,263,0.3775518834590912,3.3006179332733154,0.27906158566474915,0.0,0,0.07205700874328613,0.234375
f60_a2_p01_s02,0.5,263,0.3544062376022339,3.425175905227661,0.25444138050079346,0.0,0,0.04891151189804077,0.15625
f60_a2_p01_s02,0.75,263,0.33025532960891724,3.559555768966675,0.2295331507921219,0.0,0,0.024760156869888306,0.07812511920928955
f60_a2_p01_s02,1.0,263,0.3054967224597931,3.700726270675659,0.20475459098815918,0.0,0,1.2218952178955078e-06,0.0
f60_a2_p01_s03,0.0,29931,0.9975211024284363,0.024494843557476997,0.9968503713607788,0.0,0,0.0007011890411376953,0.5078125
f60_a2_p01_s03,0.25,29931,0.9975983500480652,0.02300889790058136,0.9968397617340088,0.0,0,0.0007784366607666016,0.384765625
f60_a2_p01_s03,0.5,29931,0.9974141120910645,0.024092286825180054,0.9965563416481018,0.0,0,0.0005942583084106445,0.26171875
f60_a2_p01_s03,0.75,29931,0.9971486926078796,0.02593778260052204,0.9961750507354736,0.0,0,0.0003287196159362793,0.134765625
f60_a2_p01_s03,1.0,29931,0.9968209266662598,0.028306543827056885,0.9957072138786316,0.0,0,1.1324882507324219e-06,0.0
f60_a2_p01_s04,0.0,29871,0.8486480712890625,1.2591421604156494,0.8370065093040466,0.0,0,0.12308251857757568,0.7421875
f60_a2_p01_s04,0.25,29871,0.8292092084884644,1.404405951499939,0.8155152201652527,0.0,0,0.10364025831222534,0.556640625
