ci95_high,ci95_low,failed_generations,mean,method,metric,n,prompt_sentiment_class,std
0.196,0.091,0,0.141,fixed_beta_0,lexicon_sentiment_score,200,neutral,0.3745917778061873
0.21,0.105,0,0.155,fixed_beta_0,lexicon_sentiment_success,200,neutral,0.36190468358395145
6.966756031513214,6.2735428416728976,0,6.618441084623337,fixed_beta_0,base_lm_perplexity,200,neutral,2.4884719911199715
0.34293745757303695,0.3334057013993486,0,0.338244450870053,fixed_beta_0,fluency,200,neutral,0.03331752167048706
0.5722363711720893,0.5534022298814206,0,0.5626839086317696,fixed_beta_0,coherence,200,neutral,0.06989823153919501
0.37188213505674605,0.3229398398969703,0,0.34759905046333356,fixed_beta_0,repeated_unigram_rate,200,neutral,0.1807504092529386
0.2363755744457519,0.18110573459079604,0,0.20937269098641767,fixed_beta_0,repeated_bigram_rate,200,neutral,0.202113862173491
0.1871474605161972,0.13383889218562336,0,0.16089777542478065,fixed_beta_0,repeated_trigram_rate,200,neutral,0.1976538649616868
0.6769849120987363,0.6276554090943499,0,0.6524009495366664,fixed_beta_0,distinct_1,200,neutral,0.1807504092529386
0.8188235095029442,0.7634968506520281,0,0.7906273090135822,fixed_beta_0,distinct_2,200,neutral,0.202113862173491
0.8661572614893694,0.8127605371185127,0,0.8391022245752197,fixed_beta_0,distinct_3,200,neutral,0.1976538649616868
32.0,31.85,0,31.94,fixed_beta_0,generation_length,200,neutral,0.596992462263972
0.0,0.0,0,0.0,fixed_beta_0,eos_rate,200,neutral,0.0
0.032024595239927296,0.029871065808166838,0,0.030942890873704103,fixed_beta_0,latency_per_token,200,neutral,0.007682195565615163
1.023954899185337,0.9548130824073451,0,0.9889916390634608,fixed_beta_0,total_latency,200,neutral,0.24783091878514094
0.925,0.835,0,0.88,fixed_beta_10,target_sentiment_success,200,neutral,0.32496153618543844
0.9230664849607274,0.8339741134695942,0,0.8787607998671593,fixed_beta_10,independent_sentiment_score,200,neutral,0.3207690894375774
0.925,0.835,0,0.88,fixed_beta_10,classifier_sentiment_success,200,neutral,0.32496153618543844
0.9230664849607274,0.8339741134695942,0,0.8787607998671593,fixed_beta_10,classifier_target_probability,200,neutral,0.3207690894375774
0.45,0.31,0,0.38,fixed_beta_10,lexicon_sentiment_score,200,neutral,0.4955804677345547
0.455,0.315,0,0.385,fixed_beta_10,lexicon_sentiment_success,200,neutral,0.4865953144040744
7.463119173049927,6.729358025789261,0,7.095871453285217,fixed_beta_10,base_lm_perplexity,200,neutral,2.644993183563532
0.3369762157295682,0.3275256771696607,0,0.3320956605028501,fixed_beta_10,fluency,200,neutral,0.03440680024491902
0.5680878146420404,0.5469996639857255,0,0.5578688244645977,fixed_beta_10,coherence,200,neutral,0.07521034647531175
0.36388744448288735,0.31390786581621194,0,0.3399212547802876,fixed_beta_10,repeated_unigram_rate,200,neutral,0.1816200748390556
0.22241379878074816,0.16544492774666172,0,0.19507467627310604,fixed_beta_10,repeated_bigram_rate,200,neutral,0.20690220616286206
0.17426076206873295,0.12064512989684423,0,0.1478866283581201,fixed_beta_10,repeated_trigram_rate,200,neutral,0.2020313460983632
0.6860535502405065,0.6359883005760313,0,0.6600787452197128,fixed_beta_10,distinct_1,200,neutral,0.1816200748390556
0.8344630719174585,0.7773093186193125,0,0.8049253237268936,fixed_beta_10,distinct_2,200,neutral,0.20690220616286206
0.8765403676049391,0.8185162106468653,0,0.8471133716418793,fixed_beta_10,distinct_3,200,neutral,0.210506053411144
32.0,31.755,0,31.915,fixed_beta_10,generation_length,200,neutral,1.0666653645825386
0.0,0.0,0,0.0,fixed_beta_10,eos_rate,200,neutral,0.0
