fusion,lambda,alpha,sample_id,n,mean_gradient,median_gradient,fraction_positive
normalized,0.5,ALL,pku_round0_00058,5,-0.04581485390663147,-0.047762297093868256,0.0
normalized,0.75,ALL,pku_round0_00058,5,-0.02414349317550659,-0.025801658630371094,0.0
normalized,1.0,ALL,pku_round0_00058,5,-0.013220465183258057,-0.014654278755187988,0.0
normalized,1.5,ALL,pku_round0_00058,5,-0.0037608698010444643,-0.004862397909164429,0.2
normalized,2.0,ALL,pku_round0_00058,5,-0.0003900226205587387,-0.0012594684958457947,0.4
normalized,4.0,ALL,pku_round0_00058,5,0.0015525972470641137,0.0011436417698860168,1.0
normalized,8.0,ALL,pku_round0_00058,5,0.000862433947622776,0.000710558146238327,1.0
normalized,16.0,ALL,pku_round0_00058,5,0.0003102616406977177,0.00026269187219440937,1.0
current,0.0,ALL,pku_round0_00094,5,1.3195190608501435,1.3228687047958374,1.0
current,0.001,ALL,pku_round0_00094,5,1.329291957616806,1.3326314687728882,1.0
current,0.01,ALL,pku_round0_00094,5,1.398728334903717,1.4017236232757568,1.0
current,0.05,ALL,pku_round0_00094,5,1.5365050196647645,1.5370290279388428,1.0
current,0.1,ALL,pku_round0_00094,5,1.6199494779109955,1.6177594661712646,1.0
current,0.25,ALL,pku_round0_00094,5,1.7746086716651917,1.7657513618469238,1.0
current,0.5,ALL,pku_round0_00094,5,1.9232430577278137,1.9079475402832031,1.0
current,0.75,ALL,pku_round0_00094,5,2.0104090690612795,1.993592619895935,1.0
current,1.0,ALL,pku_round0_00094,5,2.0656266689300535,2.0510129928588867,1.0
current,1.5,ALL,pku_round0_00094,5,2.1293859601020815,2.1213738918304443,1.0
current,2.0,ALL,pku_round0_00094,5,2.16343092918396,2.159646511077881,1.0
current,4.0,ALL,pku_round0_00094,5,2.210341012477875,2.209974765777588,1.0
current,8.0,ALL,pku_round0_00094,5,2.22898416519165,2.228248357772827,1.0
current,16.0,ALL,pku_round0_00094,5,2.2348113298416137,2.2337350845336914,1.0
normalized,0.0,ALL,pku_round0_00094,5,0.7223053395748138,0.7256549596786499,0.8
normalized,0.001,ALL,pku_round0_00094,5,0.7285574197769165,0.7319143414497375,0.8
normalized,0.01,ALL,pku_round0_00094,5,0.7671649694442749,0.7703207731246948,0.8
normalized,0.05,ALL,pku_round0_00094,5,0.7872470557689667,0.7887055277824402,0.8
normalized,0.1,ALL,pku_round0_00094,5,0.7490388512611389,0.7491899132728577,0.8
normalized,0.25,ALL,pku_round0_00094,5,0.6238436996936798,0.6224110126495361,0.8
normalized,0.5,ALL,pku_round0_00094,5,0.4672175407409668,0.4658738970756531,0.8
normalized,0.75,ALL,pku_round0_00094,5,0.3613006383180618,0.36046335101127625,0.8
normalized,1.0,ALL,pku_round0_00094,5,0.2873115748167038,0.286843866109848,0.8
normalized,1.5,ALL,pku_round0_00094,5,0.19398511350154876,0.19388064742088318,0.8
normalized,2.0,ALL,pku_round0_00094,5,0.1397501453757286,0.13977164030075073,0.8
normalized,4.0,ALL,pku_round0_00094,5,0.054442789405584335,0.05451588332653046,1.0
normalized,8.0,ALL,pku_round0_00094,5,0.017827775329351425,0.017865315079689026,1.0
normalized,16.0,ALL,pku_round0_00094,5,0.005190496146678924,0.005204048007726669,1.0
current,0.0,ALL,pku_round0_00115,5,1.0536352872848511,1.0629647970199585,1.0
current,0.001,ALL,pku_round0_00115,5,1.069500207901001,1.0789309740066528,1.0
current,0.01,ALL,pku_round0_00115,5,1.1891033887863158,1.1992123126983643,1.0
current,0.05,ALL,pku_round0_00115,5,1.463768982887268,1.4747543334960938,1.0
current,0.1,ALL,pku_round0_00115,5,1.6306578397750855,1.6417807340621948,1.0
current,0.25,ALL,pku_round0_00115,5,1.9026179313659668,1.9134466648101807,1.0
current,0.5,ALL,pku_round0_00115,5,2.128528881072998,2.135890007019043,1.0
current,0.75,ALL,pku_round0_00115,5,2.2480391025543214,2.2542405128479004,1.0
current,1.0,ALL,pku_round0_00115,5,2.3204540729522707,2.32700252532959,1.0
current,1.5,ALL,pku_round0_00115,5,2.400544834136963,2.409421443939209,1.0
current,2.0,ALL,pku_round0_00115,5,2.4436179637908935,2.452770233154297,1.0
current,4.0,ALL,pku_round0_00115,5,2.51006965637207,2.51973557472229,1.0
current,8.0,ALL,pku_round0_00115,5,2.5257589340209963,2.533888339996338,1.0
current,16.0,ALL,pku_round0_00115,5,2.530652952194214,2.5381624698638916,1.0
normalized,0.0,ALL,pku_round0_00115,5,0.785361933708191,0.7946914434432983,1.0
normalized,0.001,ALL,pku_round0_00115,5,0.7970480442047119,0.8064402937889099,1.0
normalized,0.01,ALL,pku_round0_00115,5,0.8765567779541016,0.886279821395874,1.0
normalized,0.05,ALL,pku_round0_00115,5,0.9664592146873474,0.9758304357528687,1.0
normalized,0.1,ALL,pku_round0_00115,5,0.9333571791648865,0.9417791962623596,1.0
normalized,0.25,ALL,pku_round0_00115,5,0.7731432795524598,0.7792529463768005,1.0
normalized,0.5,ALL,pku_round0_00115,5,0.569168770313263,0.5730533599853516,1.0
normalized,0.75,ALL,pku_round0_00115,5,0.4337698996067047,0.4364016652107239,1.0
normalized,1.0,ALL,pku_round0_00115,5,0.3408949613571167,0.3427574634552002,1.0
