fusion,lambda,alpha,num_cases,mean_nll,mean_gradient,median_gradient,fraction_positive_gradient,mean_entropy,mean_max_probability,mean_logit_std
normalized,0.01,"0.25,0.75",4,1.7437544167041779,0.7185904383659363,0.9437991976737976,0.75,1.2932643592357635,0.6776214241981506,2.3972097039222717
normalized,0.01,"0.50,0.50",4,1.7365393340587616,0.5943048447370529,0.8284008800983429,0.75,1.2869375348091125,0.6785671412944794,2.3953391909599304
normalized,0.01,"0.75,0.25",4,1.7292360067367554,0.46104124933481216,0.5572301745414734,0.75,1.2806776463985443,0.6795105040073395,2.3934313654899597
normalized,0.01,"1.00,0.00",4,1.7219652831554413,0.3317398279905319,0.30237239599227905,0.5,1.2743451297283173,0.6804917007684708,2.3914363980293274
normalized,0.1,"0.00,1.00",4,1.8276537656784058,0.833456002175808,0.9051441252231598,0.75,1.3069226741790771,0.6768291890621185,2.344756782054901
normalized,0.1,"0.25,0.75",4,1.8120568990707397,0.7429002672433853,0.9462940394878387,0.75,1.2992123067378998,0.6775442808866501,2.347069203853607
normalized,0.1,"0.50,0.50",4,1.7939171195030212,0.6291033290326595,0.8456268906593323,0.75,1.291413962841034,0.6783528178930283,2.3492133021354675
normalized,0.1,"0.75,0.25",4,1.7748932242393494,0.5077340602874756,0.605460599064827,0.75,1.2843610644340515,0.6791897714138031,2.351023495197296
normalized,0.1,"1.00,0.00",4,1.756346195936203,0.39099644124507904,0.38815756142139435,0.5,1.2767253518104553,0.6803518533706665,2.3520549535751343
normalized,0.25,"0.00,1.00",4,1.9420468509197235,0.6939896326512098,0.7495811581611633,0.75,1.3297324478626251,0.6748662441968918,2.2806032299995422
normalized,0.25,"0.25,0.75",4,1.914210945367813,0.6204172726720572,0.7794184982776642,0.75,1.3190606832504272,0.6755062788724899,2.2882741689682007
normalized,0.25,"0.50,0.50",4,1.8808488249778748,0.5300523210316896,0.7009402215480804,0.75,1.3090818226337433,0.6761852949857712,2.295572340488434
normalized,0.25,"0.75,0.25",4,1.8458014130592346,0.43604706041514874,0.5113728046417236,0.75,1.3005598485469818,0.6770070940256119,2.302161693572998
normalized,0.25,"1.00,0.00",4,1.8119052648544312,0.3464769087731838,0.3450321778655052,0.5,1.290854275226593,0.6785397380590439,2.3071099519729614
normalized,0.5,"0.00,1.00",4,2.091925024986267,0.5169738009572029,0.5557848215103149,0.75,1.3680486679077148,0.6719263345003128,2.2177507281303406
normalized,0.5,"0.25,0.75",4,2.048242151737213,0.4623090475797653,0.5743481814861298,0.75,1.3532588183879852,0.6722051650285721,2.231484353542328
normalized,0.5,"0.50,0.50",4,1.9958461225032806,0.3982452414929867,0.5195372104644775,0.75,1.3405344784259796,0.6723980605602264,2.2445967197418213
normalized,0.5,"0.75,0.25",4,1.9412592649459839,0.3334001209586859,0.38506684452295303,0.75,1.3306017220020294,0.6734564751386642,2.256584346294403
normalized,0.5,"1.00,0.00",4,1.8888695538043976,0.27245136722922325,0.26595908403396606,0.5,1.3189329504966736,0.6751838624477386,2.266002655029297
normalized,1.0,"0.00,1.00",4,2.2939721047878265,0.3155760820955038,0.33796070516109467,0.75,1.4310328662395477,0.6657853275537491,2.1657586097717285
normalized,1.0,"0.25,0.75",4,2.2288369834423065,0.2819028366357088,0.3464817702770233,0.75,1.4101792573928833,0.6658072024583817,2.1860559582710266
normalized,1.0,"0.50,0.50",4,2.1521546244621277,0.24507170356810093,0.31484130024909973,0.75,1.392952024936676,0.6659318804740906,2.205422878265381
normalized,1.0,"0.75,0.25",4,2.0735510885715485,0.2096369806677103,0.23701807111501694,0.75,1.3811243772506714,0.6662065237760544,2.2232075333595276
normalized,1.0,"1.00,0.00",4,1.9988238513469696,0.17705214954912663,0.16577435657382011,0.5,1.3670420944690704,0.6674888730049133,2.2375277280807495
normalized,2.0,"0.00,1.00",4,2.513273298740387,0.1524380436167121,0.16289083659648895,1.0,1.5154727697372437,0.6566475033760071,2.1453312039375305
normalized,2.0,"0.25,0.75",4,2.4246001839637756,0.13598471693694592,0.16560696065425873,1.0,1.4868218302726746,0.65699502825737,2.1706929206848145
normalized,2.0,"0.50,0.50",4,2.323068618774414,0.11921285185962915,0.15063127875328064,0.75,1.4635383784770966,0.6571931838989258,2.1948026418685913
